item,subj,onset,Exp,structure,position,ExpID
8,7,1016,3a,simple,below,1
8,2,859,3a,simple,below,1
44,10,828,3a,simple,below,1
44,9,1330,3a,simple,below,1
44,11,1442,3a,simple,below,1
44,6,NA,3a,simple,below,1
44,7,742,3a,simple,below,1
44,2,990,3a,simple,below,1
23,10,884,3a,simple,below,1
23,9,1000,3a,simple,below,1
23,11,1321,3a,simple,below,1
23,6,NA,3a,simple,below,1
23,7,701,3a,simple,below,1
23,2,973,3a,simple,below,1
26,10,771,3a,simple,below,1
26,9,1341,3a,simple,below,1
26,11,1401,3a,simple,below,1
26,6,1108,3a,simple,below,1
26,7,927,3a,simple,below,1
26,2,1295,3a,simple,below,1
38,10,1254,3a,simple,below,1
38,9,1332,3a,simple,below,1
38,11,NA,3a,simple,below,1
38,6,904,3a,simple,below,1
38,7,1485,3a,simple,below,1
38,2,979,3a,simple,below,1
2,10,1064,3a,simple,below,1
2,9,1028,3a,simple,below,1
2,11,1380,3a,simple,below,1
2,6,920,3a,simple,below,1
2,7,1116,3a,simple,below,1
2,2,937,3a,simple,below,1
17,10,1125,3a,simple,below,1
17,9,1067,3a,simple,below,1
17,11,NA,3a,simple,below,1
17,6,988,3a,simple,below,1
17,7,808,3a,simple,below,1
17,2,967,3a,simple,below,1
31,10,1073,3a,simple,below,1
31,9,803,3a,simple,below,1
31,11,2127,3a,simple,below,1
31,6,1400,3a,simple,below,1
31,7,941,3a,simple,below,1
31,2,1022,3a,simple,below,1
7,10,795,3a,simple,below,1
7,9,1058,3a,simple,below,1
7,11,1324,3a,simple,below,1
7,6,1307,3a,simple,below,1
7,7,NA,3a,simple,below,1
7,2,1150,3a,simple,below,1
18,10,543,3a,simple,below,1
18,9,859,3a,simple,below,1
18,11,1218,3a,simple,below,1
18,6,963,3a,simple,below,1
18,7,NA,3a,simple,below,1
18,2,1551,3a,simple,below,1
41,10,854,3a,simple,below,1
41,9,1805,3a,simple,below,1
41,11,NA,3a,simple,below,1
41,6,891,3a,simple,below,1
41,7,902,3a,simple,below,1
41,2,975,3a,simple,below,1
12,10,1036,3a,simple,below,1
12,9,1661,3a,simple,below,1
12,11,1272,3a,simple,below,1
12,6,949,3a,simple,below,1
12,7,846,3a,simple,below,1
12,2,NA,3a,simple,below,1
34,10,746,3a,simple,below,1
34,9,1374,3a,simple,below,1
34,11,1709,3a,simple,below,1
34,6,1203,3a,simple,below,1
34,7,732,3a,simple,below,1
34,2,902,3a,simple,below,1
46,10,908,3a,simple,below,1
46,9,1207,3a,simple,below,1
46,11,1577,3a,simple,below,1
46,6,901,3a,simple,below,1
46,7,997,3a,simple,below,1
46,2,1236,3a,simple,below,1
6,10,685,3a,simple,below,1
6,9,1287,3a,simple,below,1
6,11,1618,3a,simple,below,1
6,6,969,3a,simple,below,1
6,7,1520,3a,simple,below,1
6,2,NA,3a,simple,below,1
43,10,479,3a,simple,below,1
43,9,NA,3a,simple,below,1
43,11,2355,3a,simple,below,1
43,6,1117,3a,simple,below,1
43,7,771,3a,simple,below,1
43,2,1107,3a,simple,below,1
48,10,NA,3a,simple,below,1
48,9,1225,3a,simple,below,1
48,11,1326,3a,simple,below,1
48,6,1062,3a,simple,below,1
48,7,1002,3a,simple,below,1
48,2,1210,3a,simple,below,1
11,10,417,3a,simple,above,1
11,9,1259,3a,simple,above,1
11,11,1602,3a,simple,above,1
11,6,845,3a,simple,above,1
11,7,765,3a,simple,above,1
11,2,1191,3a,simple,above,1
25,10,1112,3a,simple,above,1
25,9,943,3a,simple,above,1
25,11,1368,3a,simple,above,1
25,6,NA,3a,simple,above,1
25,7,796,3a,simple,above,1
25,2,1332,3a,simple,above,1
37,10,1483,3a,simple,above,1
37,9,1055,3a,simple,above,1
37,11,NA,3a,simple,above,1
37,6,860,3a,simple,above,1
37,7,NA,3a,simple,above,1
37,2,866,3a,simple,above,1
5,10,929,3a,simple,above,1
5,9,1114,3a,simple,above,1
5,11,1503,3a,simple,above,1
5,6,894,3a,simple,above,1
5,7,881,3a,simple,above,1
5,2,1283,3a,simple,above,1
10,10,754,3a,simple,above,1
10,9,1002,3a,simple,above,1
10,11,1009,3a,simple,above,1
10,6,1106,3a,simple,above,1
10,7,986,3a,simple,above,1
10,2,1193,3a,simple,above,1
21,10,777,3a,simple,above,1
21,9,1226,3a,simple,above,1
21,11,1435,3a,simple,above,1
21,6,844,3a,simple,above,1
21,7,723,3a,simple,above,1
21,2,1031,3a,simple,above,1
36,10,1215,3a,simple,above,1
36,9,1246,3a,simple,above,1
36,11,2365,3a,simple,above,1
36,6,840,3a,simple,above,1
36,7,976,3a,simple,above,1
36,2,1021,3a,simple,above,1
39,10,1588,3a,simple,above,1
39,9,1082,3a,simple,above,1
39,11,1487,3a,simple,above,1
39,6,963,3a,simple,above,1
39,7,943,3a,simple,above,1
39,2,1047,3a,simple,above,1
45,10,1213,3a,simple,above,1
45,9,1161,3a,simple,above,1
45,11,1234,3a,simple,above,1
45,6,976,3a,simple,above,1
45,7,1101,3a,simple,above,1
45,2,1271,3a,simple,above,1
3,10,1005,3a,simple,above,1
3,9,1406,3a,simple,above,1
3,11,1261,3a,simple,above,1
3,6,789,3a,simple,above,1
3,7,1021,3a,simple,above,1
3,2,NA,3a,simple,above,1
20,10,902,3a,simple,above,1
20,9,943,3a,simple,above,1
20,11,NA,3a,simple,above,1
20,6,842,3a,simple,above,1
20,7,826,3a,simple,above,1
20,2,948,3a,simple,above,1
47,10,NA,3a,simple,above,1
47,9,1430,3a,simple,above,1
47,11,1167,3a,simple,above,1
47,6,1118,3a,simple,above,1
47,7,1007,3a,simple,above,1
47,2,1026,3a,simple,above,1
13,10,793,3a,simple,above,1
13,9,955,3a,simple,above,1
13,11,1280,3a,simple,above,1
13,6,810,3a,simple,above,1
13,7,789,3a,simple,above,1
13,2,1208,3a,simple,above,1
19,10,773,3a,simple,above,1
19,9,1141,3a,simple,above,1
19,11,1473,3a,simple,above,1
19,6,955,3a,simple,above,1
19,7,1106,3a,simple,above,1
19,2,1515,3a,simple,above,1
35,10,891,3a,simple,above,1
35,9,1273,3a,simple,above,1
35,11,1187,3a,simple,above,1
35,6,1051,3a,simple,above,1
35,7,618,3a,simple,above,1
35,2,930,3a,simple,above,1
1,10,932,3a,simple,above,1
1,9,1088,3a,simple,above,1
1,11,1158,3a,simple,above,1
1,6,1452,3a,simple,above,1
1,7,1029,3a,simple,above,1
1,2,1088,3a,simple,above,1
9,10,842,3a,simple,above,1
9,9,NA,3a,simple,above,1
9,11,1169,3a,simple,above,1
9,6,928,3a,simple,above,1
9,7,877,3a,simple,above,1
9,2,1048,3a,simple,above,1
32,10,NA,3a,simple,above,1
32,9,1413,3a,simple,above,1
32,11,1372,3a,simple,above,1
32,6,897,3a,simple,above,1
32,7,1023,3a,simple,above,1
32,2,982,3a,simple,above,1
16,10,NA,3a,simple,above,1
16,9,1036,3a,simple,above,1
16,11,1152,3a,simple,above,1
16,6,909,3a,simple,above,1
16,7,1053,3a,simple,above,1
16,2,1193,3a,simple,above,1
22,10,1188,3a,simple,above,1
22,9,971,3a,simple,above,1
22,11,1493,3a,simple,above,1
22,6,986,3a,simple,above,1
22,7,744,3a,simple,above,1
22,2,1172,3a,simple,above,1
24,10,816,3a,simple,above,1
24,9,910,3a,simple,above,1
24,11,1284,3a,simple,above,1
